,,▲,電気機械器具製造業（経営者）,・主要取引先の新機種開発がいまだに滞っている。,,
,,▲,不動産業（管理担当）,・前年同時期と比較して、来月以降の受託業務のうち、中止になったり、今年度をもって契約終了が決定したものもあり、売上高は減少すると見込まれる。,,
,,×,出版・印刷・同関連産業（経営者）,・利益が上がらず、資金繰りは大変である。,,
,,×,金属製品製造業（経営者）,・今年の４～５月はリーマンショック以来、久しぶりに非常に暇だった。過去の経験から４～５月が暇な時は１～３月も暇になる。,,
"雇用
関連

(北関東)",,◎,－,－,,
,,○,人材派遣会社（経営者）,・ガソリン、灯油価格が若干上がってきており、この影響が出るかどうか分からないが、農作物は、青物、穀物が安定して出始めている。また、年末年始に向けた販売員、商品については多少期待を込めて、伸びていくとみている。住宅建築、土木は、段階的に追い込みで増えていく。,,
,,○,人材派遣会社（管理担当）,・年末年始の派遣需要が増える予定であり、特に製造派遣は増員を計画している。,,
,,○,求人情報誌製作会社（経営者）,・年末年始に向けて、今月より求人が増加し、多少は良くなる。,,
,,○,職業安定所（職員）,・求人が増加している。新卒者を採用できなかった求人企業から中途採用の正社員求人が募集されることもある。,,
,,□,人材派遣会社（経営者）,・今のところ、仕事は忙しくも暇でもなく、ほとんど変わらない。今後も変わる予定がない。,,
,,□,人材派遣会社（営業担当）,・ボーナスの時期だが支給のない中小企業もあるようである。,,
,,□,人材派遣会社（支社長）,・繁忙期への増員需要は引き続き強いものの、組織変更や異動、大型のレイオフの噂などもあり、３月以降の人員調整が全くないわけでもなさそうである。特に自動車部品商社などでは、生産調整が強く出そうな気配がある。,,
,,□,職業安定所（職員）,・求人数は増加傾向を示しているが、派遣、臨時など短期的な求人増によるものであり、景気が良くなるとは感じられない。,,
,,□,民間職業紹介機関（経営者）,・年内は円安傾向が続く見込みで、製造業は人材採用にやや積極的になり始めた傾向がある。,,
,,□,学校［専門学校］（副校長）,・製造業や運輸業などの求人に比べて、事務系など間接作業の求人はない。景気動向を考えた場合、非生産業務の求人が増えてこなければ、上昇とはならない。,,
,,▲,職業安定所（職員）,・当ハローワークの求人倍率は、10月で1.72倍と県下でも高水準で推移しており、24年ぶりに1.7倍に到達している。今後これ以上の倍率は当面ないだろう。この先、世界諸国の情勢、例えば英国のＥＵ離脱問題や、米国の次期大統領のＴＰＰへの消極的な姿勢等から、海外取引のある企業では、マイナスの状況が予測され、景気不安が高まっている。,,
,,×,－,－,,
,,,,,,
　４．南関東（地域別調査機関：株式会社日本経済研究所）,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,
"家計
動向
関連

(南関東)",東京都,◎,一般レストラン（経営者）,・忘年会、新年会は飲食店にとって一番の稼ぎ時なので、この12月～１月は予約で忙しくなる(東京都)。,,
,,○,一般小売店［家電］（経理担当）,・工事が絡む電気製品の販売は今後も増える。客も高齢者が多いため、頼みやすいところに買物に来る。,,
,東京都,○,一般小売店［家電］（経営者）,・米国の大統領選で予想に反した候補が当選し、それに伴う混乱で上向きの考え方を持つようになり、景気が良くなるのではないか(東京都)。,,
,東京都,○,百貨店（営業担当）,・前年11月ごろからインバウンドの減少、国内経済の不安感などにより、売上高は前年比マイナス局面となっている。前年比では、米国市場の活況もあり、やや上向く(東京都)。,,
,東京都,○,百貨店（販売促進担当）,・気候の影響もあり、コートなど重衣料、防寒雑貨などの動きが好調である。富裕層、一般消費者いずれも時計、ダイヤなど宝飾品の売上が見込める。富裕層は特別な購買機会があると手ごたえを感じられる(東京都)。,,
,,○,百貨店（店長）,・株価の上昇や円安など、改善のための新しい要因が出てきている。,,
,,○,スーパー（経営者）,・いまだに改善点がたくさんあるが、一つ一つ改善を続けていけば、少しずつでも伸びていくのではないか。,,
,,○,コンビニ（経営者）,・冬のボーナス時期に入るので、ボーナス景気で売上は非常に伸びる。毎年この時期は売上が多くなるので、今年も大きな問題がなければ同じように伸びる。,,
,,○,衣料品専門店（経営者）,・ファッション衣料について、客は欲しくて仕方がないのが本心である。いかに購買までつなげることができるかが、年末の勝負どころである。,,
,,○,家電量販店（店長）,・成約のタイミング、単価、買上点数の動向からみても、景気は上向きになっている。,,
,,○,家電量販店（統括）,・米国新政権の政策次第ではあるが、日本への影響は大きい。円安、株高で企業の決算が大きく上方修正されると期待している。,,
,東京都,○,家電量販店（経営企画担当）,・米国の大統領選で事前予想と異なる候補者が選出されたことにより、景気面での悪影響が現れると想定していたが、今のところ逆の状況が生まれている。円安が大きく進み、経営条件にプラスになる可能性が出てきている(東京都)。,,
,東京都,○,乗用車販売店（販売担当）,・オリンピック関連施設について、都知事とオリンピック委員会の間で施設を決定しておらず、工事がまだ進んでいないため、停滞気味と判断しているが、将来的には忙しくなるだろうとどの客も思っている。現場作業員やドライバー不足により受注済みの業務がこなせないが、将来的には景気は良くなる(東京都)。,,
,,○,乗用車販売店（渉外担当）,・新型車の受注が順調に推移している。来客数も増加傾向のため、先行きはやや良くなる。,,
,,○,乗用車販売店（総務担当）,・新型車、サービス、中古車と需要が上向きになる。,,
,東京都,○,住関連専門店（営業担当）,・リフォーム業界では住宅ストック循環支援事業という追い風がある。現時点では認知度が低いが、徐々に効果が表れてくるものと期待している(東京都)。,,
,東京都,○,その他小売［雑貨卸］（経営者）,・主として寒気を考慮してである(東京都)。,,
,,○,一般レストラン（経営者）,・米国の次期大統領の政策に対する期待から、円安ドル高の状況になり、輸出企業を中心に業況が良くなる。,,
,東京都,○,一般レストラン（経営者）,・例年同様、繁忙期に入り来客数が伸びている(東京都)。,,
,東京都,○,その他飲食［居酒屋］（経営者）,・年末年始でお金が動く時期であり、飲食店としては忘年会、新年会需要があるので、景気は良くなる(東京都)。,,
,東京都,○,その他飲食［給食・レストラン］（役員）,・米国の大統領選の結果により、今まで非常に不透明だった部分がはっきりしてきている。今後の景気回復に大きく寄与していくのではないか(東京都)。,,
,東京都,○,旅行代理店（販売促進担当）,・当社は１期が１～12月のため、新年度を迎える。合併して３年目になるので、現在、最終的な計画を策定をしているが、そのなかでの対策を考えると、良くなる材料はある。ただし、旅行業にとっては厳しい月になり、前年と比べても明るい材料はあまりない(東京都)。,,
,,○,タクシー運転手,・これから年末に向け、さまざまな場の動きが今以上に出てくる。その意味では利用客が若干増え、やや良くなるのではないかと期待している。,,
,東京都,○,通信会社（経営者）,・円安、株高が続き、お金を持っている人は大勢いるので、あとは心理面の問題のみである(東京都)。,,
,,○,通信会社（営業担当）,・営業を増員しており、順調な数字が期待できる。,,
,,○,通信会社（管理担当）,・格安スマートフォンの獲得を主戦場に、他サービスへの解約防止を見込んでいる。繁忙期に備え、積極的に取り組むことで勝機はあるとみている。,,
,東京都,○,通信会社（管理担当）,・個人向け携帯電話の小売は年末商戦ともなり、景気は良くなる。法人向けソリューション案件はクラウド化への動きも出てきており、上向きになる(東京都)。,,
,,○,ゴルフ場（経営者）,・米国の大統領選に伴う混乱の影響も少ないため、徐々に上向きになるのではないか。,,
,,○,ゴルフ場（支配人）,・民間、官庁のボーナスは増加傾向にあり、年末年始を中心に若干上向き傾向にはある。,,
,,○,その他レジャー施設［ボウリング場］（支配人）,・法人予約が増加傾向にある。,,
,東京都,○,その他レジャー施設（経営企画担当）,・賃金の引上げがなされれば、景気の底上げは可能な状況である(東京都)。,,
,東京都,○,その他サービス［福祉輸送］（経営者）,・10月、１～２月と新車の発表がある。今年前半には全くなかったことから、これから需要が伸びると考えている(東京都)。,,
,東京都,○,その他住宅［住宅資材］（営業）,・季節変動を加味しないとしても、注文量が上向く情報が出てきている(東京都)。,,
,,□,商店街（代表者）,・世界経済をみると、今はドル高円安という状況になっているが、我々中小企業にその影響はほとんど感じられない。飲食はそこそこ良いが、物販が今一つ売れていない。隣の地方百貨店の上役と話をしたが、やはりなかなか思うように売上が伸びていないという話である。今後もこの状況が続くのではないか。,,
,東京都,□,商店街（代表者）,・今年の天候は少し予想がつかないようなところがあり、これからどうなるか心配である。11月末に雪が降ったたため、今後の天候もやや心配である。この状態があまり続かないように祈っている(東京都)。,,
,東京都,□,商店街（代表者）,・米国の次期大統領就任後の政策の方向によって全体の景気が大きくぶれる可能性があるが、地域経済活動からすればあまり期待できる要素が見当たらない(東京都)。,,
,,□,一般小売店［和菓子］（経営者）,・ガソリンや農作物の高騰により、個人消費がかなり落ちている。年末年始にかけて期待感はあるが、家計に厳しい冬である。,,
,,□,一般小売店［家電］（経理担当）,・世界の動きや、世の中全体に不安を感じている人が多く、慎重な暮らしを考えているのではないか。,,
,東京都,□,一般小売店［米穀］（経営者）,・年々文化的な行事が縮小されているため、季節の販売量が減っていく(東京都)。,,
,東京都,□,一般小売店［文房具］（経営者）,・季節商材の販売量はやや低迷しているが、定番商品は好調である。また、爆買いはないが訪日外国人の日本製文房具へのニーズは高まっており、筆記用具を中心に販売数量及び販売額は上向きである(東京都)。,,
,,□,一般小売店［傘］（店長）,・贈答品の受注件数が例年より鈍化しており、全てに停滞感が否めない。,,
,東京都,□,一般小売店［茶］（営業担当）,・販売量が伸びないことには、年末ボーナスの期待が持てない。新規契約の競争も激しく、なかなか取れない状況である(東京都)。,,
,,□,百貨店（売場主任）,・冬のボーナス増加が見込めないことと、ここ最近のデフレ傾向によりセール待ちの状況が続く。,,
,,□,百貨店（総務担当）,・気温などの影響から、衣料品は伸びる要素もあるが、それ以外は消費を促す動機が薄く、厳しい状況は続く。,,
,,□,百貨店（総務担当）,・賃金の上昇や年金、社会保障への不安が解消される見込みが立たず、個人消費の伸びが見込めない。また、諸外国の情勢不安もあり、心理的にもネガティブな状況が続く。,,
,東京都,□,百貨店（営業担当）,・気温低下とともに、婦人物を中心に冬物衣料品の動きが良くなってきたが、56年ぶりの積雪による影響が大きく、前年を超えられない。ただ、米国の大統領選の結果に起因するとみられる円安株高は、美術宝飾品等の高額商品の動きを良くしつつある(東京都)。,,
,東京都,□,百貨店（営業担当）,・ヒット商品がないため、低水準のまま推移すると見込んでいる。今冬は気温が低いとの予測はあるものの、そもそもメーカーがものづくりを抑えているため、売り逃しが出るのではないか(東京都)。,,
,東京都,□,百貨店（営業担当）,・生活防衛意識には変化はない。モノ消費からコト消費への転換も更に加速していく(東京都)。,,
,東京都,□,百貨店（営業担当）,・ボーナス商戦から年末年始に向けて期待したいところであるが、米国の大統領選結果の影響により株価が不安定なこと、また、前年は年末に向け消費マインドが上昇したため、現段階では前年を上回ることは厳しいと予想されることから、先行きも変わらない(東京都)。,,
,東京都,□,百貨店（販売促進担当）,・天候に大きく左右される傾向が続いているが、それを除くと改善が期待される材料が見つからない(東京都)。,,
,,□,百貨店（販売促進担当）,・今月はお歳暮の動きが良く、単価も上がっている。前年に比べてギフト開催期間の短縮もあり、12月に入ってからの動きを見ないと分からないものの、景気の悪化傾向は一段楽している。,,
,,□,百貨店（副店長）,・来月以降、年末年始の最繁忙期の客の様子や売上動向を見てみないと、現在の持ち直し感が継続していくのか否かは判断できない。,,
,,□,百貨店（店長）,・アパレルが好調に推移し始めたが、食品の動きが悪い。特に、生鮮の品薄状態が続いている。,,
,東京都,□,百貨店（営業企画担当）,・米国の次期大統領の政策次第で変動があるのではないか(東京都)。,,
,東京都,□,スーパー（販売担当）,・客は、その店の曜日あるいは時間帯での特典、例えばポイントが何倍であるといったところをうまく使いながら買い回りをしている。価値のある商品に手を出してくれるような客はなかなか増えてこない(東京都)。,,
,,□,スーパー（経営者）,・12月～２月の景気だが、年々12月が悪くなってきている。年間で一番売上が伸びる月なので集中してやっているが、競争の激化が大きく影響し、売上がなかなか伸びない状況はこれからも続く。また、客の食生活、買物動向が徐々に変化しており、おせち料理を食べない家庭も増えている。,,
,,□,スーパー（経営者）,・悪いなりに落ち着いている。,,
,東京都,□,スーパー（店長）,・現状をみると、来店客は地域の高齢者が多い。新規客の来店頻度が上がるというよりは、今来ている高齢者が１日に何回か足を運ぶことで来客数が増加している状況であり、今後もその傾向は変わらない(東京都)。,,
,東京都,□,スーパー（店長）,・年末商戦を控え、一時的には上向きになるが、継続する要素は見当たらないため、しばらくは節約志向が続く(東京都)。,,
,,□,スーパー（店長）,・現状では１品単価の下落がみられ、買上点数もやや減っている。来客数増による売上確保はできているものの、客１人１人の購買力は決して上がっていない。,,
,東京都,□,スーパー（営業担当）,・米国を中心とする世界の景気動向はいまだ不透明であり、国内においても、消費者それぞれの将来的な基盤が不安定であることが景気を抑えている(東京都)。,,
,,□,スーパー（仕入担当）,・節約志向が続いており、年末やお正月も簡単に済ませようとする傾向にあるため、高単価商品の購入はあまり期待できない。,,
,,□,スーパー（副店長）,・好調業種の従業員はボーナスの支給を受けて消費意欲を拡大させると考えるが、全体的に消費が上向くとは考えられない。,,
,,□,コンビニ（経営者）,・近隣の工事が11月後半で一旦終了し、本工事は来年になるため、良くはない。,,
,東京都,□,コンビニ（経営者）,・景気の好材料が特に見当たらない(東京都)。,,
,,□,コンビニ（経営者）,・客の選択眼がますます厳しくなり、必要な物以外の衝動買いが完全に消えていく。,,
,,□,コンビニ（経営者）,・人の行動パターンというのは毎年似たような傾向にあり、売上、来客数、その他も今まではその範ちゅうであったが、時代とともに、例えば年賀状印刷等、徐々に衰退する業務もあるし、反対にインターネット取引の決済という部分では増えている。これから先高齢者でもインターネット等の利用が可能な状態で進んでいけばと思うのだが、なかなか難しい。,,
,,□,コンビニ（経営者）,・近隣にホームセンターがオープンするため、影響を受ける恐れがある。,,
,,□,コンビニ（経営者）,・東京オリンピック景気が来るという声も聞くが、来ないという声もある。当地には何か恩恵があるのか分からないが、恐らく変わらない。,,
,,□,コンビニ（経営者）,・ショッピングセンターにも出店しているが、ここ半年、来客数が前年同期の実績に届いていない。特に週末は10％程度落ちており、この傾向は今後も続く。景気は回復基調にあると聞いているが、末端にはまだ効果が出ていない。,,
,東京都,□,コンビニ（エリア担当）,・クリスマス商戦の曜日周りにマイナス影響を受けそうであるが、集客につながる大型販促の連続投入により来客数が維持され、トレンドどおりの売上が維持できると見込んでいる(東京都)。,,
,東京都,□,コンビニ（商品開発担当）,・来客数の減少が改善するような傾向もなく、厳しい状況が続く(東京都)。,,
,,□,衣料品専門店（経営者）,・正直分からない状態である。米国の大統領選に伴う混乱の影響により株価が上昇し、円が下落しているが、為替の問題は良い所も悪い所もあり、当業界としてはどちらに転ぶのかよく分からない。クリスマス商戦、年末商戦に期待したい。,,
,,□,衣料品専門店（経営者）,・生活必需品が中心であり、先行き不安から衣服等の購買力が低下している。,,
,,□,乗用車販売店（経営者）,・当社は自動車の整備と販売をしているが、整備は順調に入っているものの、販売があまり芳しくない。来月のボーナスに期待したいが、あまり期待できない。,,
,,□,乗用車販売店（経営者）,・新車販売の伸び悩みを整備部門で補っている。,,
,,□,乗用車販売店（営業担当）,・新車種が出たが、以前と比べると盛り上がりに欠ける。,,
,,□,その他専門店［ドラッグストア］（経営者）,・周りの様子をみても、活気が出てきたようには感じない。以前と同じで変わらない。,,
,東京都,□,その他専門店［貴金属］（経営企画担当）,・売上全体は、３か月間微増が続いている。繁忙期となるため、景気は上昇傾向に感じるが、直近のすう勢からも、先行きは微増かほぼ変わらない(東京都)。,,
,東京都,□,その他小売［ショッピングセンター］（統括）,・可処分所得の増加に寄与するようなモチベーションもなく、停滞傾向に変化はない(東京都)。,,
,東京都,□,その他小売［生鮮魚介卸売］（営業）,・品薄の状況が改善しないと先行きは良くならない(東京都)。,,
,東京都,□,その他小売［ゲーム］（開発戦略担当）,・９月に実施されたハードの値下げ効果があまり出ておらず、ソフト需要も期待したほど上がっていない(東京都)。,,
,,□,高級レストラン（経営者）,・売上が伸びる年末に向かって、予約が増えていないため、景気が上向きになる要素が全くない。,,
,東京都,□,高級レストラン（仕入担当）,・年末年始に向けた予約状況等から、来客数、売上共にほぼ前年並みと見込んでいる(東京都)。,,
,東京都,□,一般レストラン（経営者）,・コインランドリーやダンススタジオ等、新業種の出店がある。地域性の変化を最近特に感じる(東京都)。,,
,,□,一般レストラン（経営者）,・３か月後もなかなか厳しい状態が続く。何か経済対策をしてもらわないことには、景気は良くならない。このままだといろいろな面で支障をきたす。,,
,東京都,□,一般レストラン（経営者）,・米国の次期大統領が就任したら、日本にどのような影響が出るのか。円安株高等、大企業や世間一般には景気の回復傾向が見られるとのことだが、中小企業や我々零細企業では、人手不足による人件費、材料費等の高騰により、厳しい状況が続く(東京都)。,,
,東京都,□,一般レストラン（経営者）,・米国の次期大統領が大きな変化を起こすという期待感で、若干経済が動いている。具体的な政策が出てから厳しい状況になることも考えられるため、それほど良くはならない気がする(東京都)。,,
,,□,一般レストラン（経営者）,・悪くなるというより、これ以上景気が悪化するようなことがあれば問題である。これより悪くなることはないと信じたい。,,
,,□,一般レストラン（経営者）,・来客数、売上、客の様子、他店舗の様子、全て変わりがない。,,
,,□,一般レストラン（スタッフ）,・町を見てもほとんど活気がない。会社員でも支出は多く、店を経営しているところは社会保険等経費が増加している。古くなるとさまざまな出費が生じるため、よほど上昇しないと現状維持も難しい。これから良くなることを期待している。,,
,,□,都市型ホテル（スタッフ）,・宿泊は好調を維持しているが、婚礼、宴会、レストランは浮き沈みの激しい状況が続いている。この先も景気回復の見込みはなく、厳しい状態が続く。,,
,,□,都市型ホテル（スタッフ）,・年末年始は若干上がるが、年明けからオフシーズンとなるため、厳しい状況に変わりはない。,,
,,□,都市型ホテル（総務担当）,・売上、客単価の低迷が続いている。,,
,,□,旅行代理店（経営者）,・シルバー世代になり、皆が遠出をしなくなってきている現状がある。高齢化社会というか、そのような人が多くなっている傾向である。,,
,,□,旅行代理店（経営者）,・景気が良いのは一部の富裕層のみではないか。徐々に円安になってきている。,,
,東京都,□,旅行代理店（従業員）,・米国新政権への期待により円安基調になり、海外旅行に割高感がある(東京都)。,,
,,□,旅行代理店（従業員）,・旅行業界としては冬はオフシーズンになる。得意客は予定通り旅行を実施することになっており、身の回りの景気には変化がない。,,
,東京都,□,旅行代理店（従業員）,・状況が変わる要因が見当たらず、先が見えない(東京都)。,,
,東京都,□,旅行代理店（営業担当）,・まず申込の電話が鳴らない。商品というより顧客の動向が変わってきている(東京都)。,,
,東京都,□,タクシー運転手,・良い材料が何もない(東京都)。,,
,,□,タクシー（団体役員）,・年末も迫り、例年人出や交通量が増加する時期にもかかわらず、依然として街中の活気は停滞している。,,
,東京都,□,通信会社（営業担当）,・工夫してやりくりしている営業の効果は出てきているが、既に客へ訪問しつくした感があり、契約数の増大を維持するのは難しい(東京都)。,,
,,□,通信会社（営業担当）,・競合他社との競争が激化しており、インターネット、携帯電話共に安価なサービスの投入により、限られた顧客の囲い込み合戦となっている。,,
,東京都,□,通信会社（局長）,・根本的な顧客喚起サービスを打ち出さない限りインパクトはなく、消費マインドが向上する要素に欠ける。年内はこのような状態が続く。不動産繁忙期に合わせた新サービスの投入が望ましいが、現状はそのようなことは考えにくい(東京都)。,,
,,□,通信会社（営業担当）,・良くなる材料が見当たらない。,,
,東京都,□,通信会社（総務担当）,・為替レートや気象等の価格変動要素に大きな変化がなければ、年末年始特需も平常化するものと見込んでいる(東京都)。,,
,東京都,□,通信会社（経営企画担当）,・今後３か月先において、主だった取引先の案件は現在発生していない(東京都)。,,
,,□,ゴルフ場（企画担当）,・３か月先の予約は若干弱めであるが、ある程度、平年並みの数がある。,,
,東京都,□,パチンコ店（経営者）,・以前も話したが、年内に、パチンコ、スロットマシーンの機械のうち人気のある高射幸性遊技機というややギャンブル性のある機械を撤去しなければならない。今月末に撤去するため１～２月は厳しいかもしれないが、過去も同様に他の機械に客をつけ安定したため、希望を含め変わらないと回答した(東京都)。,,
,,□,その他サービス［学習塾］（経営者）,・下げ止まった感もあるが、依然としてどこも単価を抑えているので、収益的にはなかなか上向きにならず、変わらない。,,
,,□,その他サービス［保険代理店］（経営者）,・前年比１～２％増とほぼ横ばいであり、短期見通しも全く変わらない。,,
,,□,その他サービス［学習塾］（経営者）,・年末年始に景気が良くなるという期待感がなかなか持てない。,,
,,□,設計事務所（経営者）,・現在手掛けている物件はそのまま動いていくが、新規物件の相談はない。仕事としては、細かい部分まで詰めていく段階なので忙しくなりそうだが、売上としては変わらない。,,
,,□,設計事務所（経営者）,・住宅を含む民間投資は相変わらず弱含みで進むとみている。耐震改修は官民とも一段落している。民間で現在未着工の建物は、経済的な理由で改修に踏み切れないのではないか。しばらくは現状維持で進む。,,
,東京都,□,設計事務所（所長）,・動く物件が見当たらず、動きだしたとしても、当分は実作業に入らず、無報酬コンサルタント的な作業が目立つ(東京都)。,,
,東京都,□,設計事務所（職員）,・建設業界に限らず、平行線と感じている(東京都)。,,
,東京都,□,住宅販売会社（従業員）,・住宅展示場や各種イベントの集客状況は数字的には悪くないが、具体的な計画を持っているユーザーが少ない(東京都)。,,
,,□,住宅販売会社（従業員）,・情報量が横ばいなので、今後も同じような景気になる。,,
,,□,住宅販売会社（従業員）,・基礎工事のくい打ちに使うくいと、重機の調達状況が特にひっ迫しており、受注残の着工計画が立てにくくなっている。,,
,東京都,▲,商店街（代表者）,・寒波や多雨など異常気象の影響がかなりあり、今冬は心配である。株価に大いに影響する米国の次期大統領の動向も気になる。株価の変動は消費マインドに大きく作用する。米国の内政問題がこんな小さな街かど経済にまで影響してくることが驚きである(東京都)。,,
,,▲,一般小売店［茶］（経営者）,・初冬になり、客に今度の売出しはいつかと聞かれる。来客数、売上も約１割戻ってきている。,,
,東京都,▲,一般小売店［家具］（経営者）,・円安になり、輸入品の値段が上昇するため、これから先は若干悪くなる(東京都)。,,
,,▲,一般小売店［印章］（経営者）,・客は車で買物に行くため、大きな駐車場のあるショッピングセンター等に足が向いてしまう。車をわざわざ移動させて商店街に来るのは、駐車場等の問題があるため非常に難しい。そのためどうしても量販店に足が向いてしまうのが現状である。,,
,,▲,一般小売店［祭用品］（経営者）,・11月末の大型商業施設閉店により、人の流れが悪くなる。,,
,,▲,一般小売店［文具］（販売企画担当）,・外商はこのところ大口の受注案件が多かったのだが、ここにきて急きょ取り止めになったり、縮小になるといった流れが出ている。そのため数か月後の来月あたりの売上が、やや減少しており、今後の見通しがなかなかつかないというのが現状である。,,
,東京都,▲,百貨店（総務担当）,・米国の大統領選の結果を受けて株価が18千円台まで回復し、資産効果が百貨店まで波及する可能性もあるが、今のところ全くその恩恵は現れていない。逆に、ＴＰＰや環境問題などで政策が後戻りし、間接的に百貨店の景気に水を差す可能性のほうが大きい。相変わらず衣料品の売上が振るわず、アパレルのセールも売上活性化の起爆剤とはなっていない。中間層の消費に元気がなく、この傾向は数か月単位では変わらない(東京都)。,,
,,▲,百貨店（総務担当）,・消費に対する慎重な姿勢は今後も継続する。来客数は維持できても、買い回りに結びつけることは困難である。,,
,東京都,▲,百貨店（営業担当）,・中間層の購買意欲低下が懸念される。婦人アパレル関連は、業界全体の不況感も重なり、売るべき商品が少なく、売上が伸びない可能性がある。株価は上昇傾向にあり、高額所得者、資産保有者の購買意欲は持ち直すとみているが、中間層の伸び悩みの影響を払しょくするまでは至らない。インバウンド需要も堅調に推移するものの、爆買いなどの特需は期待できないため、現状よりも更に悪化する懸念がある(東京都)。,,
,東京都,▲,百貨店（計画管理担当）,・年明けのクリアランスセールの売上規模が年々小さくなっている。今度もその傾向であれば厳しくなる(東京都)。,,
,東京都,▲,スーパー（経営者）,・客の財布のひもが固く、高単価商品が売れなくなってきている(東京都)。,,
,,▲,スーパー（総務担当）,・11月末になってようやく気温が下がり、降雪もあったが、コート類など重衣料の動きがみえない。本来気温が下がると動く寝具類などの商品の動きも非常に鈍いことから、今後冬物が値崩れを起こして、来客数がなかなか伸びないなかで総売上はやや厳しい状況になる。また、青果物も単価が上がったままなので、他の食品関係の買上が青果物に若干取られることにより、食品も全体として厳しい状況となる。,,
,東京都,▲,コンビニ（経営者）,・客数、単価共に良くない。大きいプロモーションを打ったところは売れているのだが、逆に安いところに流れてしまい、高いものが売れなくなっている(東京都)。,,
,,▲,コンビニ（経営者）,・年末年始も盛り上がりそうにない。２～３月になると季節的な要因で落ち込む。,,
,,▲,衣料品専門店（経営者）,・客の高齢化と安売り競争の激化で、値ごろ品の価格帯が更に落ちており、売上を維持するのが難しくなってきている。,,
,,▲,衣料品専門店（統括）,・防寒衣料の前倒し傾向が見受けられる。,,
,,▲,衣料品専門店（営業担当）,・年金問題や増税等の話ばかりで、高齢者をターゲットとする当店にとっては、頭の痛い世の中である。,,
,東京都,▲,家電量販店（店員）,・今後、来年にかけて景気の動向が傾き、量販店全体が厳しくなるのではないか(東京都)。,,
,,▲,住関連専門店（統括）,・景気が回復する、消費が増加する要素が今のところ見当たらない。この不況はまだ続くのではないか。,,
,,▲,その他専門店［ドラッグストア］（経営者）,・地震の多発、米国の政権交代などの不確定要素により、財布のひもがより固くなるのではないか。,,
,,▲,その他小売［ショッピングセンター］（統括）,・映画は作品により好不調の波が大きいため、いつまで好調が続くかは分からない。ショッピングセンターの中で中心となるファッション店は、基本的に厳しい環境が続く。,,
,,▲,一般レストラン（経営者）,・２～３か月先の景気ということだが、12月は例年どおり売上は良くなる。しかし、これも毎年のことだが、２月と８月は年間でも売上が一番落ちる月であり、１～２月の売上はぐんと減少するだろう。これを補うためにケータリングなどをやっているが、なかなか難しい。,,
,,▲,都市型ホテル（スタッフ）,・米国経済の先行きが今後どうなるか不透明なので、しばらく動きが停滞する。,,
,東京都,▲,旅行代理店（従業員）,・年末から年明けにかけて販売量が伸びてきている分、春休みに向けての伸びが懸念される。また、米国の動向が不透明なため、業務渡航を含む海外旅行に影響が出るのではないか(東京都)。,,
,東京都,▲,旅行代理店（営業担当）,・円安基調の為替相場による(東京都)。,,
,東京都,▲,旅行代理店（営業担当）,・１～２月は販売量が伸び悩む傾向にある(東京都)。,,
,東京都,▲,タクシー運転手,・米国の次期大統領はＴＰＰから離脱する意思を表明している。今後日本及び世界の貿易体制がどうなっていくのか、米国の動きに注視が必要と報道されているので、落ち着くまではさまざまな面でしばらく景気が悪くなる(東京都)。,,
,,▲,タクシー運転手,・秋あたりから利用が徐々に悪くなっており、週末もあまり良くない日が続いている。暮れから年明けにかけ急に良くなるとは思えないが、この時期は例年並みに仕事ができると見込んでいる。,,
,東京都,▲,タクシー運転手,・運転手仲間と話していても、会社の深夜の動きがこれからどうなるか全く分からない。回復していくか、それともこのまま残業しなくなるかという状態で、ますます昼間の営業にかけている(東京都)。,,
,東京都,▲,通信会社（経営者）,・携帯各社への固定インターネット回線切替え攻勢は今後も強まるとみられるため、当面厳しい状況が続く(東京都)。,,
,,▲,通信会社（管理担当）,・業界はシェア争奪戦に突入しており、中期的に見た場合、業界の活性化につながるとは思えない。,,
,,▲,ゴルフ場（従業員）,・年金や将来への不安が増すばかりで、明るい話題がない。東京オリンピックは景気回復への期待も大きかったと思うが、エンブレム、国立競技場など、良くないことばかりが浮上しており、人災のようにも思える。,,
,東京都,▲,その他サービス［電力］（経営者）,・マンションの契約率が下がり、空室が目立つようになってきている(東京都)。,,
,,▲,設計事務所（経営者）,・当社は13人の社員で構成されている。私も部下も、少しでも良い新しい仕事を見つけようと手探りで頑張っている。入札はあまり良い物件はないが、一般の物件にはまだまだ頑張る余地はある。日本経済の先行きばかりを心配するのではなく、もう少し足元にある良い仕事を見つけたいと考えている。,,
,,▲,設計事務所（所長）,・東京オリンピックの影響から、仕事量は一極集中型になることは否めず、地方の仕事量がなかなか増えないというのが現状である。これらの理由から非常に競争が激しくなるため、生き残りをかけて大変な状況になる。,,
,,▲,住宅販売会社（従業員）,・投資用の新築売りアパートは今がピークであり、今後は徐々に下がってくる。ただし、急激ではなく緩やかに下降する。金融機関がどう対応するかが気になる。,,
,,▲,その他住宅［住宅管理・リフォーム］（経営者）,・停滞している状況がすでに半年ほど続いている。２～３か月先はすでに決まったものが動くため、厳しい状況が続く。来年度４月以降に期待している。,,
